Observation id,Observation date,Description,Media file,Total length,FPS,Oleamide Exposure,Experimental Day,Photoperiod,Human Disturbance,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
Haliai S1430011,2022-07-07 09:39:00,,/Volumes/McCoy Octo Data/OctopusVideos/Haliai/July7 (pre)/S1430011.MP4,1800.800,29.97,pre,1,day,no,Octopus,Under Refuge,Evasion,,STATE,0.000,1800.799,1800.799,,
Haliai S1430011,2022-07-07 09:39:00,,/Volumes/McCoy Octo Data/OctopusVideos/Haliai/July7 (pre)/S1430011.MP4,1800.800,29.97,pre,1,day,no,Octopus,Stationary,,Unknown,STATE,0.000,1800.799,1800.799,,
Haliai S1430011,2022-07-07 09:39:00,,/Volumes/McCoy Octo Data/OctopusVideos/Haliai/July7 (pre)/S1430011.MP4,1800.800,29.97,pre,1,day,no,Clam1,Unobservable,,,STATE,0.000,1800.799,1800.799,,
Haliai S1430011,2022-07-07 09:39:00,,/Volumes/McCoy Octo Data/OctopusVideos/Haliai/July7 (pre)/S1430011.MP4,1800.800,29.97,pre,1,day,no,Clam2,Unobservable,,,STATE,0.000,1800.799,1800.799,,
Haliai S1430011,2022-07-07 09:39:00,,/Volumes/McCoy Octo Data/OctopusVideos/Haliai/July7 (pre)/S1430011.MP4,1800.800,29.97,pre,1,day,no,Clam3,Unobservable,,,STATE,0.000,1800.799,1800.799,,
Haliai S1430011,2022-07-07 09:39:00,,/Volumes/McCoy Octo Data/OctopusVideos/Haliai/July7 (pre)/S1430011.MP4,1800.800,29.97,pre,1,day,no,Hermit Crab1,Unobservable,,,STATE,0.000,1800.799,1800.799,,
Haliai S1430011,2022-07-07 09:39:00,,/Volumes/McCoy Octo Data/OctopusVideos/Haliai/July7 (pre)/S1430011.MP4,1800.800,29.97,pre,1,day,no,Hermit Crab2,Unobservable,,,STATE,0.000,1800.799,1800.799,,
Haliai S1430011,2022-07-07 09:39:00,,/Volumes/McCoy Octo Data/OctopusVideos/Haliai/July7 (pre)/S1430011.MP4,1800.800,29.97,pre,1,day,no,Hermit Crab3,Unobservable,,,STATE,0.000,1800.799,1800.799,,
Haliai S1430011,2022-07-07 09:39:00,,/Volumes/McCoy Octo Data/OctopusVideos/Haliai/July7 (pre)/S1430011.MP4,1800.800,29.97,pre,1,day,no,Snail1,Climb,Evasion,,STATE,0.000,1800.799,1800.799,,
Haliai S1430011,2022-07-07 09:39:00,,/Volumes/McCoy Octo Data/OctopusVideos/Haliai/July7 (pre)/S1430011.MP4,1800.800,29.97,pre,1,day,no,Snail1,Roaming,,Within 1/2 tank L,STATE,0.000,1800.799,1800.799,,
Haliai S1430011,2022-07-07 09:39:00,,/Volumes/McCoy Octo Data/OctopusVideos/Haliai/July7 (pre)/S1430011.MP4,1800.800,29.97,pre,1,day,no,Snail1,Vicinity,,,STATE,0.000,1800.799,1800.799,,
Haliai S1430011,2022-07-07 09:39:00,,/Volumes/McCoy Octo Data/OctopusVideos/Haliai/July7 (pre)/S1430011.MP4,1800.800,29.97,pre,1,day,no,Snail2,Unobservable,,,STATE,0.000,1800.799,1800.799,,
Haliai S1430011,2022-07-07 09:39:00,,/Volumes/McCoy Octo Data/OctopusVideos/Haliai/July7 (pre)/S1430011.MP4,1800.800,29.97,pre,1,day,no,Snail3,Unobservable,,,STATE,0.000,1800.799,1800.799,,
Haliai S1430011,2022-07-07 09:39:00,,/Volumes/McCoy Octo Data/OctopusVideos/Haliai/July7 (pre)/S1430011.MP4,1800.800,29.97,pre,1,day,no,Swim Crab1,Unobservable,,,STATE,0.000,1800.799,1800.799,,
Haliai S1430011,2022-07-07 09:39:00,,/Volumes/McCoy Octo Data/OctopusVideos/Haliai/July7 (pre)/S1430011.MP4,1800.800,29.97,pre,1,day,no,Swim Crab2,Unobservable,,,STATE,0.000,1800.799,1800.799,,
Haliai S1430011,2022-07-07 09:39:00,,/Volumes/McCoy Octo Data/OctopusVideos/Haliai/July7 (pre)/S1430011.MP4,1800.800,29.97,pre,1,day,no,Swim Crab3,Unobservable,,,STATE,0.000,1800.799,1800.799,,
Haliai S1430011,2022-07-07 09:39:00,,/Volumes/McCoy Octo Data/OctopusVideos/Haliai/July7 (pre)/S1430011.MP4,1800.800,29.97,pre,1,day,no,Octopus,Color change,,Light to Dark,POINT,209.101,209.101,NA,,
